Run,Event,E,px,py,pz,pt,eta,phi,Q,MET,phiMET
146944,118556766,42.2900983007,23.7085906477,27.5341186078,21.6383061394,36.3349,0.564983,0.859915,-1,46.8842,-1.64491
146944,118543816,41.0176553411,15.3463412599,22.0896934615,-30.967275287,26.8973,-0.984429,0.963617,1,26.1266,-1.69697
146944,118025626,43.0689376374,23.9370676046,14.4394882006,-32.7633972677,27.955,-0.997927,0.542789,1,27.4184,-2.47374
146944,119362532,55.7963962542,-43.6926950838,0.133816007838,-34.7009677222,43.6929,-0.728134,3.13853,1,20.2537,-0.592273
146944,120567328,91.8942403598,25.4854290619,-18.0360734402,86.4276183173,31.2219,1.74247,-0.615876,1,37.564,2.84146
146944,119859040,40.8468662284,-16.9413245813,34.5140139178,13.7923776667,38.4477,0.351451,2.0271,-1,36.5318,-1.21707
146944,119295898,71.1345659385,37.5501934514,60.2293578561,4.74581200356,70.976,0.0668153,1.01331,1,79.0502,-2.01528
146944,120520519,46.590962138,-25.2663740305,15.9201419918,35.7612361582,29.8637,1.01436,2.57934,1,33.6392,-0.756648
146944,121990946,42.3169336093,18.2721431824,19.265618074,32.9496047041,26.5525,1.04191,0.811858,1,81.8449,-1.27435
146944,122171618,72.4735159919,45.698925358,-28.4021670992,48.5522860608,53.8059,0.81062,-0.556083,1,58.886,-2.38376
146944,121384971,90.7303025428,-32.5206040617,13.0658539446,83.6879346619,35.0472,1.60476,2.75956,1,38.1271,-0.274554
146944,121344894,107.989657835,43.7903429356,26.8113481436,95.001644785,51.3463,1.37457,0.54939,-1,41.6643,-2.75402
146944,120884751,144.0425587,-34.7642127055,17.2902973521,-138.711004198,38.8266,-1.98547,2.68006,1,44.2072,-0.432539
146944,122077023,111.505267172,-26.7908669386,30.6909085124,-103.796584851,40.7392,-1.66485,2.28845,1,48.9574,-0.494896
146944,122253412,59.7833247748,26.9545299576,28.5063323697,45.109611914,39.2321,0.983444,0.813371,1,37.5059,-2.42466
146944,122227469,62.3292477749,-2.50532751328,25.7728172023,56.6957599121,25.8943,1.52531,1.6677,1,41.891,-1.5945
146944,122415959,116.560467955,-22.255374975,-34.1523890111,109.200018937,40.7638,1.71168,-2.14833,-1,39.2488,0.880248
146944,124734869,48.425321972,-14.5032527657,39.7622420055,-23.529139685,42.3247,-0.530661,1.92055,-1,26.586,-1.03418
146944,125100030,105.244125643,15.6654237119,30.9616220624,99.3593844475,34.6991,1.77436,1.10239,1,29.6703,-1.71001
146944,124536631,37.3713091813,35.9122615453,-7.19994960463,7.42117124321,36.6269,0.201254,-0.197864,1,49.7124,-2.90904
146944,125656592,31.3402344265,24.4478957159,-8.61927809658,17.6127104778,25.9228,0.635733,-0.338951,1,30.4524,3.12137
146944,125844339,113.261278362,-35.7994101966,-28.3006726716,-103.660890255,45.6347,-1.55887,-2.47265,1,38.842,0.535716
146944,125750751,181.49857371,49.2914322342,-20.8395022682,173.429498496,53.5157,1.89194,-0.39999,-1,30.9379,2.39503
146944,127610192,50.9437879739,-8.14746359656,-37.8256865527,33.1375111196,38.6932,0.776119,-1.78295,1,40.1554,1.43389
146944,130803027,54.1405553885,14.3425545313,-31.7930950328,-41.4086803923,34.8785,-1.00777,-1.14701,1,30.0812,2.00291
146944,130196392,59.6081662824,-19.4940813714,-45.2807090622,-33.5076185691,49.2987,-0.635945,-1.97733,-1,15.1967,0.656385
146944,130601256,117.998377971,-30.7016569006,7.85226244918,113.663346239,31.6899,1.98928,2.8912,1,31.5751,-0.0452499
146944,130014249,95.6657152041,34.6994985206,1.65407848252,-89.1354403625,34.7389,-1.67142,0.0476326,1,26.944,2.81748
146944,570893625,69.4564612168,7.92896419903,46.7438909516,50.7575514235,47.4116,0.930406,1.40277,1,43.3896,-1.7707
